test_acc,test_f1,test_auc,best_f1,best_auc,best_epoch,fold,model,iter
0.8512396694214877,0.8438516981398627,0.9425352145240247,0.8438516981398627,0.9425352145240247,43.0,traditional,,
0.859504132231405,0.8546514091968637,0.9476682934844661,0.8546514091968637,0.9476682934844661,42.0,,vlocal,0.0
0.8264462809917356,0.8089319771137953,0.926784376309348,0.8089319771137953,0.926784376309348,26.0,,simulated_local_0,0.0
0.7768595041322314,0.7544782123294519,0.9176057828506473,0.7544782123294519,0.9176057828506473,34.0,,simulated_local_1,0.0
0.8099173553719008,0.7916174734356551,0.9291142714649607,0.7916174734356551,0.9291142714649607,32.0,,simulated_local_2,0.0
0.7768595041322314,0.7606160232316029,0.9009252617523983,0.7606160232316029,0.9009252617523983,29.0,,simulated_local_3,0.0
0.743801652892562,0.7106384702641387,0.8937696723238538,0.7106384702641387,0.8937696723238538,36.0,,simulated_local_4,0.0
0.8264462809917356,0.8100996224882929,0.9342434332159185,,,,,fedavg,0.0
0.8760330578512396,0.871001201523108,0.9466331029503434,0.871001201523108,0.9466331029503434,37.0,,vlocal,1.0
0.8512396694214877,0.8413709285367039,0.9439866065669252,0.8413709285367039,0.9439866065669252,18.0,,simulated_local_0,1.0
0.8264462809917356,0.8160436096237408,0.9458833895376733,0.8160436096237408,0.9458833895376733,36.0,,simulated_local_1,1.0
0.859504132231405,0.8503106546686676,0.9473123223382099,0.8503106546686676,0.9473123223382099,31.0,,simulated_local_2,1.0
0.8099173553719008,0.7979002410845485,0.9171995649322617,0.7979002410845485,0.9171995649322617,37.0,,simulated_local_3,1.0
0.7933884297520661,0.7756064871767351,0.9125324822395614,0.7756064871767351,0.9125324822395614,47.0,,simulated_local_4,1.0
0.8347107438016529,0.8205093229806381,0.9445299356315315,,,,,fedavg,1.0
0.859504132231405,0.8551246733064913,0.9495048136751965,0.8551246733064913,0.9495048136751965,8.0,,vlocal,2.0
0.859504132231405,0.8519117246389972,0.946412494898686,0.8519117246389972,0.946412494898686,30.0,,simulated_local_0,2.0
0.8347107438016529,0.8206210685549529,0.9498555233813445,0.8206210685549529,0.9498555233813445,49.0,,simulated_local_1,2.0
0.8512396694214877,0.8482276789978929,0.945875230730975,0.8482276789978929,0.945875230730975,43.0,,simulated_local_2,2.0
0.8429752066115702,0.8293388429752065,0.925454272085943,0.8293388429752065,0.925454272085943,27.0,,simulated_local_3,2.0
0.8347107438016529,0.823848878394333,0.9412997208859555,0.823848878394333,0.9412997208859555,40.0,,simulated_local_4,2.0
0.8347107438016529,0.822973066537423,0.947902400023675,,,,,fedavg,2.0
0.8760330578512396,0.8713336574299141,0.9526307901938179,0.8713336574299141,0.9526307901938179,8.0,,vlocal,3.0
0.8677685950413223,0.8640583233884668,0.9484169299896108,0.8640583233884668,0.9484169299896108,24.0,,simulated_local_0,3.0
0.8677685950413223,0.8659328825444528,0.939834703485353,0.8659328825444528,0.939834703485353,1.0,,simulated_local_1,3.0
0.8512396694214877,0.842632784943745,0.9439068002725541,0.842632784943745,0.9439068002725541,37.0,,simulated_local_2,3.0
0.8264462809917356,0.8118590615128132,0.9220840613540937,0.8118590615128132,0.9220840613540937,10.0,,simulated_local_3,3.0
0.8347107438016529,0.822973066537423,0.9400966282279345,0.822973066537423,0.9400966282279345,21.0,,simulated_local_4,3.0
0.859504132231405,0.8538559292288533,0.9471714753906091,,,,,fedavg,3.0
0.8677685950413223,0.8634422043602962,0.9595626620010028,0.8634422043602962,0.9595626620010028,12.0,,vlocal,4.0
0.8512396694214877,0.8460711805446279,0.9548493511858817,0.8460711805446279,0.9548493511858817,30.0,,simulated_local_0,4.0
0.8512396694214877,0.8456690556562515,0.9387984150288281,0.8456690556562515,0.9387984150288281,18.0,,simulated_local_1,4.0
0.8677685950413223,0.8635354444535361,0.951144922938308,0.8635354444535361,0.951144922938308,37.0,,simulated_local_2,4.0
0.859504132231405,0.8506956040996271,0.9244819372351682,0.8506956040996271,0.9244819372351682,17.0,,simulated_local_3,4.0
0.8512396694214877,0.8353490036134664,0.942221403223302,0.8353490036134664,0.942221403223302,49.0,,simulated_local_4,4.0
0.859504132231405,0.8515490570036024,0.9522828256651525,,,,,fedavg,4.0
0.8677685950413223,0.8636625900352272,0.9451654014987987,0.8636625900352272,0.9451654014987987,20.0,,vlocal,5.0
0.8429752066115702,0.8385717805590227,0.9588235054939895,0.8385717805590227,0.9588235054939895,2.0,,simulated_local_0,5.0
0.8677685950413223,0.8611849943632017,0.9542844428398264,0.8611849943632017,0.9542844428398264,37.0,,simulated_local_1,5.0
0.859504132231405,0.8498720975993702,0.9416060223299568,0.8498720975993702,0.9416060223299568,27.0,,simulated_local_2,5.0
0.8347107438016529,0.8276142155654987,0.939535761819274,0.8276142155654987,0.939535761819274,14.0,,simulated_local_3,5.0
0.8016528925619835,0.7946809083172719,0.9080313983753784,0.7946809083172719,0.9080313983753784,27.0,,simulated_local_4,5.0
0.8677685950413223,0.863187467072066,0.9527862438130029,,,,,fedavg,5.0
0.859504132231405,0.855260992451075,0.946273065819295,0.855260992451075,0.946273065819295,15.0,,vlocal,6.0
0.8512396694214877,0.8455951462482795,0.9521482550888309,0.8455951462482795,0.9521482550888309,45.0,,simulated_local_0,6.0
0.8347107438016529,0.828699617534569,0.9524928130245178,0.828699617534569,0.9524928130245178,10.0,,simulated_local_1,6.0
0.8429752066115702,0.8301300482595597,0.9386680297160307,0.8301300482595597,0.9386680297160307,9.0,,simulated_local_2,6.0
0.8512396694214877,0.8461417472518891,0.9490237745808419,0.8461417472518891,0.9490237745808419,30.0,,simulated_local_3,6.0
0.8512396694214877,0.8429668586693381,0.9390728176019781,0.8429668586693381,0.9390728176019781,32.0,,simulated_local_4,6.0
0.859504132231405,0.8548565872630043,0.9562647684422021,,,,,fedavg,6.0
0.859504132231405,0.8554799535897645,0.955719175246695,0.8554799535897645,0.955719175246695,35.0,,vlocal,7.0
0.8512396694214877,0.8582011330463144,0.9535515809286197,0.8582011330463144,0.9535515809286197,7.0,,simulated_local_0,7.0
