test_acc,test_f1,test_auc,best_f1,best_auc,best_epoch,fold,model,iter
0.859504132231405,0.8528301478178375,0.9528967066408706,0.8528301478178375,0.9528967066408706,48.0,traditional,,
0.8677685950413223,0.8639395859607687,0.9506950143748115,0.8639395859607687,0.9506950143748115,27.0,,vlocal,0.0
0.8016528925619835,0.7806369479923199,0.9365466959119476,0.7806369479923199,0.9365466959119476,40.0,,simulated_local_0,0.0
0.7768595041322314,0.7413779625830337,0.9351878709270436,0.7413779625830337,0.9351878709270436,19.0,,simulated_local_1,0.0
0.7851239669421488,0.7733809904225889,0.9404227402046185,0.7733809904225889,0.9404227402046185,28.0,,simulated_local_2,0.0
0.7851239669421488,0.7577780913798567,0.8972032797604348,0.7577780913798567,0.8972032797604348,41.0,,simulated_local_3,0.0
0.743801652892562,0.7049869133729123,0.9022718314128926,0.7049869133729123,0.9022718314128926,45.0,,simulated_local_4,0.0
0.8016528925619835,0.7763744672835581,0.9406933228236181,,,,,fedavg,0.0
0.859504132231405,0.8532739887701661,0.9362443458856058,0.8532739887701661,0.9362443458856058,10.0,,vlocal,1.0
0.8429752066115702,0.8255411767072023,0.9530739043554716,0.8255411767072023,0.9530739043554716,12.0,,simulated_local_0,1.0
0.8181818181818182,0.8073230624919642,0.9538908031533622,0.8073230624919642,0.9538908031533622,32.0,,simulated_local_1,1.0
0.8429752066115702,0.8393006556080596,0.9473093497684546,0.8393006556080596,0.9473093497684546,23.0,,simulated_local_2,1.0
0.8264462809917356,0.8077369622643613,0.9263787771946719,0.8077369622643613,0.9263787771946719,14.0,,simulated_local_3,1.0
0.8099173553719008,0.7895608523707697,0.923078400397435,0.7895608523707697,0.923078400397435,40.0,,simulated_local_4,1.0
0.8264462809917356,0.8076190304699231,0.9495174107658436,,,,,fedavg,1.0
0.8677685950413223,0.863892764719211,0.9553040283305536,0.863892764719211,0.9553040283305536,47.0,,vlocal,2.0
0.8429752066115702,0.8265457257074904,0.9489388026009272,0.8265457257074904,0.9489388026009272,19.0,,simulated_local_0,2.0
0.8264462809917356,0.8153362036079075,0.9515783222664136,0.8153362036079075,0.9515783222664136,27.0,,simulated_local_1,2.0
0.8429752066115702,0.8356311708297587,0.9528589640236265,0.8356311708297587,0.9528589640236265,12.0,,simulated_local_2,2.0
0.8429752066115702,0.829551643311627,0.9261440186637971,0.829551643311627,0.9261440186637971,37.0,,simulated_local_3,2.0
0.8347107438016529,0.824036099234687,0.9372850339582774,0.824036099234687,0.9372850339582774,23.0,,simulated_local_4,2.0
0.8429752066115702,0.8296612478430658,0.9519880829781779,,,,,fedavg,2.0
0.859504132231405,0.8546030041374741,0.9418172576693411,0.8546030041374741,0.9418172576693411,18.0,,vlocal,3.0
0.8347107438016529,0.8278518241434534,0.9477472486363553,0.8278518241434534,0.9477472486363553,37.0,,simulated_local_0,3.0
0.8429752066115702,0.8387414818036827,0.9513170002509448,0.8387414818036827,0.9513170002509448,18.0,,simulated_local_1,3.0
0.859504132231405,0.8570141979232888,0.9557472779913847,0.8570141979232888,0.9557472779913847,45.0,,simulated_local_2,3.0
0.8512396694214877,0.8419698758541733,0.9366302510267993,0.8419698758541733,0.9366302510267993,44.0,,simulated_local_3,3.0
0.8181818181818182,0.8162169471088718,0.933249033646724,0.8162169471088718,0.933249033646724,21.0,,simulated_local_4,3.0
0.8429752066115702,0.8387704799188052,0.9563508639170285,,,,,fedavg,3.0
0.8512396694214877,0.8475810116156882,0.9540847425730135,0.8475810116156882,0.9540847425730135,22.0,,vlocal,4.0
0.859504132231405,0.8479447910403539,0.9385093685728002,0.8479447910403539,0.9385093685728002,6.0,,simulated_local_0,4.0
0.8677685950413223,0.8584617302889129,0.956481832476976,0.8584617302889129,0.956481832476976,17.0,,simulated_local_1,4.0
0.8512396694214877,0.8488334978369008,0.9565763804922254,0.8488334978369008,0.9565763804922254,23.0,,simulated_local_2,4.0
0.8429752066115702,0.8346594394441283,0.9421913313950439,0.8346594394441283,0.9421913313950439,37.0,,simulated_local_3,4.0
0.8347107438016529,0.8261841303833366,0.9372118261851993,0.8261841303833366,0.9372118261851993,3.0,,simulated_local_4,4.0
0.8512396694214877,0.8436408963514458,0.9511651512181256,,,,,fedavg,4.0
0.8760330578512396,0.8707136298045389,0.9519840127421031,0.8707136298045389,0.9519840127421031,49.0,,vlocal,5.0
0.8429752066115702,0.8398045471981029,0.953282241391511,0.8398045471981029,0.953282241391511,16.0,,simulated_local_0,5.0
0.8347107438016529,0.830800750052087,0.9471868740050752,0.830800750052087,0.9471868740050752,9.0,,simulated_local_1,5.0
0.8347107438016529,0.8253751634657024,0.9396006787774165,0.8253751634657024,0.9396006787774165,28.0,,simulated_local_2,5.0
0.8264462809917356,0.8189503475742743,0.9404061452606784,0.8189503475742743,0.9404061452606784,5.0,,simulated_local_3,5.0
0.8099173553719008,0.7953734297033814,0.926153133667441,0.7953734297033814,0.926153133667441,12.0,,simulated_local_4,5.0
0.8677685950413223,0.862830237425505,0.9522698064047332,,,,,fedavg,5.0
0.859504132231405,0.8563750975234229,0.9412057419419588,0.8563750975234229,0.9412057419419588,8.0,,vlocal,6.0
0.8512396694214877,0.8492193217591529,0.949777616255002,0.8492193217591529,0.949777616255002,25.0,,simulated_local_0,6.0
0.8512396694214877,0.8434908525817617,0.9465325080354128,0.8434908525817617,0.9465325080354128,48.0,,simulated_local_1,6.0
0.8677685950413223,0.8616320318799657,0.9428356393940894,0.8616320318799657,0.9428356393940894,24.0,,simulated_local_2,6.0
0.859504132231405,0.8512199463561102,0.9351539164291197,0.8512199463561102,0.9351539164291197,34.0,,simulated_local_3,6.0
0.859504132231405,0.8507521621484213,0.933341806711272,0.8507521621484213,0.933341806711272,26.0,,simulated_local_4,6.0
0.8677685950413223,0.861773166521622,0.945911251670866,,,,,fedavg,6.0
0.859504132231405,0.8565090017761057,0.9511411728832577,0.8565090017761057,0.9511411728832577,16.0,,vlocal,7.0
0.8347107438016529,0.8235491780946326,0.9316910956503195,0.8235491780946326,0.9316910956503195,16.0,,simulated_local_0,7.0
0.8512396694214877,0.8461759950827844,0.9449246049713729,0.8461759950827844,0.9449246049713729,47.0,,simulated_local_1,7.0
0.8512396694214877,0.8421106263033861,0.9315261636580199,0.8421106263033861,0.9315261636580199,45.0,,simulated_local_2,7.0
0.8429752066115702,0.8300592275798887,0.9437617799657809,0.8300592275798887,0.9437617799657809,38.0,,simulated_local_3,7.0
0.8347107438016529,0.8163136495337006,0.9398269830913193,0.8163136495337006,0.9398269830913193,35.0,,simulated_local_4,7.0
0.8347107438016529,0.8265328610783155,0.9492259375735786,,,,,fedavg,7.0
0.8677685950413223,0.8650229934552484,0.9544116433990416,0.8650229934552484,0.9544116433990416,43.0,,vlocal,8.0
0.8760330578512396,0.8718846216172418,0.9555500946489015,0.8718846216172418,0.9555500946489015,30.0,,simulated_local_0,8.0
0.8181818181818182,0.8096272442453454,0.9429651917655371,0.8096272442453454,0.9429651917655371,41.0,,simulated_local_1,8.0
0.8512396694214877,0.8420515765803078,0.9535047248657242,0.8420515765803078,0.9535047248657242,49.0,,simulated_local_2,8.0
0.8429752066115702,0.832035732862179,0.940808435321929,0.832035732862179,0.940808435321929,17.0,,simulated_local_3,8.0
0.8264462809917356,0.8204956339789823,0.9368005692702664,0.8204956339789823,0.9368005692702664,11.0,,simulated_local_4,8.0
0.8677685950413223,0.861773166521622,0.9564321125101822,,,,,fedavg,8.0
0.8512396694214877,0.847088345198156,0.9351231020575292,0.847088345198156,0.9351231020575292,44.0,,vlocal,9.0
0.8760330578512396,0.8728565690040421,0.9505813235192383,0.8728565690040421,0.9505813235192383,29.0,,simulated_local_0,9.0
0.8512396694214877,0.847626851700051,0.9504828658637936,0.847626851700051,0.9504828658637936,17.0,,simulated_local_1,9.0
0.859504132231405,0.8557826309163207,0.9573698487356248,0.8557826309163207,0.9573698487356248,10.0,,simulated_local_2,9.0
0.8264462809917356,0.8152372285302095,0.9340594561334055,0.8152372285302095,0.9340594561334055,36.0,,simulated_local_3,9.0
0.8512396694214877,0.8456756183292473,0.9384193975224213,0.8456756183292473,0.9384193975224213,41.0,,simulated_local_4,9.0
0.8677685950413223,0.862219598583235,0.9501551733553915,,,,,fedavg,9.0
0.8512396694214877,0.8465020368277538,0.951417640565482,0.8465020368277538,0.951417640565482,8.0,,vlocal,10.0
0.859504132231405,0.8550930727964219,0.9513060949307102,0.8550930727964219,0.9513060949307102,16.0,,simulated_local_0,10.0
0.8512396694214877,0.8373986251641308,0.9482152602374012,0.8373986251641308,0.9482152602374012,7.0,,simulated_local_1,10.0
0.8677685950413223,0.863187467072066,0.9524135268634305,0.863187467072066,0.9524135268634305,45.0,,simulated_local_2,10.0
