SHAP_Feature_Index,UniProt_ID,Gene_Name,Original_CSV_Column_Index
0,P37108,SRP14,4
1,Q96JP5,ZFP91,5
2,Q8N697,Unknown,6
3,P36578,RPL4,7
4,O76031,CLPX,8
5,A6NIH7,UNC119B,9
6,Q9BTD8,RBM42,10
7,Q9P258,RCC2,11
8,P17542,Unknown,12
9,Q68DK7,MSL1,13
10,P55036,PSMD4,14
11,A1X283,SH3PXD2B,15
12,P05154,SERPINA5,16
13,Q9BQE4,SELENOS,17
14,Q8WWH5,TRUB1,18
15,O75602,SPAG6,19
16,P18509,ADCYAP1,20
17,Q8TDZ2,MICAL1,21
18,Q96GQ5,RUSF1,22
19,P59768,GNG2,23
20,Q6P2E9,EDC4,24
21,Q9UNF1,MAGED2,25
22,Q9NZQ3,NCKIPSD,26
23,Q9NQP4,PFDN4,27
24,O15357,INPPL1,28
25,O15042,U2SURP,29
26,Q01780,EXOSC10,30
27,P02786,TFRC,31
28,P07954,FH,32
29,Q9Y490,TLN1,33
30,O94826,TOMM70,34
31,Q96L58,Unknown,35
32,Q8N4T8,CBR4,36
33,P23381,WARS1,37
34,P35221,CTNNA1,38
35,Q96C19,EFHD2,39
36,Q9BUP0,EFHD1,40
37,Q9H3U1,UNC45A,41
38,Q8WVQ1,CANT1,42
39,Q15149,PLEC,43
40,Q96T51,RUFY1,44
41,Q5VSL9,STRIP1,45
42,O14497,ARID1A,46
43,Q8NFD5,ARID1B,47
44,P58107,EPPK1,48
45,P13807,GYS1,49
46,P51970,NDUFA8,50
47,Q53GG5,PDLIM3,51
48,Q96NB2,SFXN2,52
49,Q15063,POSTN,53
50,Q8TAE8,GADD45GIP1,54
51,Q8IYS1,PM20D2,55
52,Q7Z392,TRAPPC11,56
53,Q8N0Z6,TTC5,57
54,P31948,STIP1,58
55,Q13423,NNT,59
56,P98172,EFNB1,60
57,O60716,CTNND1,61
58,Q14498,RBM39,62
59,Q9BYV7,BCO2,63
60,Q15042,RAB3GAP1,64
61,Q9NX63,CHCHD3,65
62,Q9H477,RBKS,66
63,P26641,EEF1G,67
64,P20810,CAST,68
65,Q96D96,HVCN1,69
66,P31350,RRM2,70
67,Q16643,DBN1,71
68,P53618,COPB1,72
69,P07202,TPO,73
70,Q92506,HSD17B8,74
71,Q9NVA2,SEPTIN11,75
72,O14981,BTAF1,76
73,Q99569,PKP4,77
74,O95801,TTC4,78
75,Q6XQN6,NAPRT,79
76,Q96CD0,FBXL8,80
77,Q01831,XPC,81
78,Q7Z5L9,IRF2BP2,82
79,P08559,PDHA1,83
80,Q5JUR7,TEX30,84
81,O75155,CAND2,85
82,Q99733,NAP1L4,86
83,P14555,PLA2G2A,87
84,Q86XX4,FRAS1,88
85,Q8N1S5,SLC39A11,89
86,Q9NVC6,MED17,90
87,P02730,SLC4A1,91
88,Q03252,LMNB2,92
89,P49006,MARCKSL1,93
90,Q7KZF4,SND1,94
91,P09327,VIL1,95
92,Q6UWP2,DHRS11,96
93,Q9NXC5,MIOS,97
94,Q12955,ANK3,98
95,Q9BXU1,STK31,99
96,Q5SQI0,ATAT1,100
97,P18206,VCL,101
98,Q13087,PDIA2,102
99,P19404,NDUFV2,103
100,O43837,IDH3B,104
101,Q9UBF2,COPG2,105
102,P54802,NAGLU,106
103,O00468,AGRN,107
104,P13995,MTHFD2,108
105,P35749,MYH11,109
106,P17858,PFKL,110
107,Q9H7E9,C8orf33,111
108,Q7Z7L1,SLFN11,112
109,O95336,PGLS,113
110,P55060,CSE1L,114
111,P29475,NOS1,115
112,Q9BUH6,PAXX,116
113,O15269,SPTLC1,117
114,Q9P265,DIP2B,118
115,Q8TDX7,NEK7,119
116,P13796,LCP1,120
117,Q01813,PFKP,121
118,Q53H12,AGK,122
119,P06753,TPM3,123
120,Q14980,NUMA1,124
121,Q9H6L2,TMEM231,125
122,Q9UNF0,PACSIN2,126
123,Q9UBQ7,GRHPR,127
124,P43304,GPD2,128
125,Q53G44,IFI44L,129
126,P02766,TTR,130
127,Q14CN2,CLCA4,131
128,Q6P1J9,CDC73,132
129,P51452,DUSP3,133
130,Q63HN8,RNF213,134
131,Q9Y277,VDAC3,135
132,Q7Z3D6,DGLUCY,136
133,P53814,SMTN,137
134,Q9UHG2,PCSK1N,138
135,O43395,PRPF3,139
136,Q96PP9,GBP4,140
137,Q86VP6,CAND1,141
138,P98194,ATP2C1,142
139,Q9BZ71,PITPNM3,143
140,Q96ST3,SIN3A,144
141,Q12888,TP53BP1,145
142,Q8NBX0,SCCPDH,146
143,Q9H0R6,QRSL1,147
144,P78362,SRPK2,148
145,O95782,AP2A1,149
146,Q15293,RCN1,150
147,O15382,BCAT2,151
148,P30038,ALDH4A1,152
149,Q8IVT2,MISP,153
150,Q9BZL4,PPP1R12C,154
