round,loss
1,2.212539275487264
2,2.1542039712270102
3,2.10286553700765
4,2.0571102301279702
5,2.01638654867808
6,1.9785675605138142
7,1.943272352218628
8,1.9103629191716511
9,1.8788831233978271
10,1.8490523497263591
11,1.8210219542185466
12,1.795413851737976
13,1.7710026502609253
14,1.7474371194839478
15,1.7251819372177124
16,1.7042150497436523
17,1.6847621202468872
18,1.6663411855697632
19,1.6490573088328044
20,1.6341169277826946
21,1.6215282678604126
22,1.6108911832173665
23,1.600971778233846
24,1.591793378194173
25,1.586669683456421
26,1.5821518500645955
27,1.5799135367075603
28,1.5795329809188843
29,1.580345630645752
30,1.5825167496999104
31,1.5859785079956055
32,1.5909454027811687
33,1.5968070427576702
34,1.603743314743042
35,1.6111418803532918
36,1.620612104733785
37,1.6306370099385579
38,1.6405210494995117
39,1.6511952479680378
40,1.6629453897476196
41,1.6749914089838664
42,1.6882802645365398
43,1.7033364375432332
44,1.7176475524902344
45,1.733391801516215
46,1.7502475182215373
47,1.766581654548645
48,1.785334308942159
49,1.8045683701833088
50,1.8237826824188232
