round,loss
1,2.2132076422373452
2,2.1562782526016235
3,2.106284181276957
4,2.061583677927653
5,2.0216637452443442
6,1.9851830403010051
7,1.9507744312286377
8,1.9188942909240723
9,1.888135274251302
10,1.8589922189712524
11,1.8314300775527954
12,1.8061942259470622
13,1.7820614178975422
14,1.7594791253407795
15,1.737332542737325
16,1.717503269513448
17,1.6976597706476848
18,1.679887851079305
19,1.662988265355428
20,1.6473309993743896
21,1.6342253684997559
22,1.623114784558614
23,1.614072322845459
24,1.6043436924616497
25,1.5975340604782104
26,1.5934579769770305
27,1.5907771587371826
28,1.590596079826355
29,1.5904782613118489
30,1.592483361562093
31,1.595863978068034
32,1.5999279816945393
33,1.6059201955795288
34,1.6130825281143188
35,1.6215225458145142
36,1.6300331751505535
37,1.6398615042368572
38,1.6503463983535767
39,1.6609589258829753
40,1.6733853419621785
41,1.686457355817159
42,1.7000226974487305
43,1.7155551115671794
44,1.7320410013198853
45,1.7474942604700725
46,1.7646149794260662
47,1.7822310129801433
48,1.8014138142267864
49,1.8199928204218547
50,1.839726209640503
