round,loss
1,4.858080546061198
2,4.560219923655192
3,4.296757857004802
4,4.061024824778239
5,3.8463400999704995
6,3.648142178853353
7,3.463155508041382
8,3.2888363202412925
9,3.123378276824951
10,2.9653983116149902
11,2.8141417503356934
12,2.669571320215861
13,2.5320207277933755
14,2.4020771185557046
15,2.2803247769673667
16,2.1672181288401284
17,2.062923034032186
18,1.9674251079559326
19,1.8802032868067424
20,1.8006871938705444
21,1.7280906041463215
22,1.6618380546569824
23,1.6012581586837769
24,1.5459384123484294
25,1.4954228798548381
26,1.4495878219604492
27,1.407834490140279
28,1.370052695274353
29,1.3358447154362996
30,1.3053445021311443
31,1.2774300972620647
32,1.253739595413208
33,1.2319694757461548
34,1.21459166208903
35,1.1982385317484539
36,1.1858792304992676
37,1.1748446623484294
38,1.1652481158574421
39,1.1569743156433105
40,1.1498430967330933
41,1.143326997756958
42,1.1377948919932048
43,1.1331291198730469
44,1.128835956255595
45,1.1247835159301758
46,1.121430516242981
47,1.1185115178426106
48,1.1157453457514446
49,1.1131079196929932
50,1.110520641009013
