round,loss
1,4.468345642089844
2,4.203588485717773
3,3.971365769704183
4,3.765275796254476
5,3.578730503718058
6,3.4071573416392007
7,3.247523625691732
8,3.097238381703695
9,2.9545227686564126
10,2.8181846141815186
11,2.687482992808024
12,2.5621918042500815
13,2.442821979522705
14,2.3300627867380777
15,2.2245965003967285
16,2.127014478047689
17,2.0373928546905518
18,1.9555070400238037
19,1.8806955019632976
20,1.812352975209554
21,1.7496673663457234
22,1.692020058631897
23,1.6389988263448079
24,1.590144157409668
25,1.54522971312205
26,1.504062255223592
27,1.4663581848144531
28,1.432005802790324
29,1.4006147782007854
30,1.3721529642740886
31,1.3461989561716716
32,1.3229185740152996
33,1.301661729812622
34,1.283118486404419
35,1.266821026802063
36,1.2533904711405437
37,1.2414095004399617
38,1.2316081126530964
39,1.2225474119186401
40,1.2150100072224934
41,1.2078514496485393
42,1.2019060055414836
43,1.196189045906067
44,1.1912862062454224
45,1.1866910060246785
46,1.182721773783366
47,1.1788556178410847
48,1.1757218440373738
49,1.1724434693654378
50,1.1697985728581746
