round,loss
1,69.26736958821614
2,54.549598693847656
3,43.825243631998696
4,35.94232177734375
5,30.128294626871746
6,25.830589294433594
7,22.640631993611652
8,20.279507319132488
9,18.5145320892334
10,17.177872975667317
11,16.150941530863445
12,15.343854586283365
13,14.69296646118164
14,14.162796020507812
15,13.721197764078775
16,13.34339968363444
17,13.0155881245931
18,12.729591051737467
19,12.47606086730957
20,12.25098959604899
21,12.047019640604654
22,11.86264737447103
23,11.69191805521647
24,11.536742528279623
25,11.392273902893066
26,11.260480244954428
27,11.134805679321289
28,11.019818305969238
29,10.907926877339682
30,10.806909243265787
31,10.706373850504557
32,10.618054707845053
33,10.528328577677408
34,10.44904613494873
35,10.366376558939615
36,10.293665885925293
37,10.218679428100586
38,10.155248641967773
39,10.082657178243002
40,10.026202837626139
41,9.95857048034668
42,9.90800952911377
43,9.84127934773763
44,9.797356605529785
45,9.7344118754069
46,9.693531036376953
47,9.631575266520182
48,9.598690032958984
49,9.53460439046224
50,9.507011413574219
