round,loss
1,79.02282206217448
2,78.8106206258138
3,78.58671569824219
4,78.3517837524414
5,78.10557556152344
6,77.84599049886067
7,77.5794906616211
8,77.30719502766927
9,77.0266621907552
10,76.7461166381836
11,76.46563466389973
12,76.18973541259766
13,75.92114512125652
14,75.65908813476562
15,75.40357462565105
16,75.15745035807292
17,74.92152404785156
18,74.69718424479167
19,74.48353830973308
20,74.27988942464192
21,74.08804575602214
22,73.90876770019531
23,73.74140930175781
24,73.58526357014973
25,73.44044748942058
26,73.30633799235027
27,73.18163553873698
28,73.06758371988933
29,72.9613774617513
30,72.8634541829427
31,72.77322896321614
32,72.69018300374348
33,72.61510213216145
34,72.54654439290364
35,72.48646291097005
36,72.43438720703125
37,72.38928731282552
38,72.35187530517578
39,72.31828053792317
40,72.29165140787761
41,72.27029927571614
42,72.25488535563152
43,72.24239857991536
44,72.23412577311198
45,72.23048146565755
46,72.23002115885417
47,72.23366800944011
48,72.24135080973308
49,72.25321960449219
50,72.26675669352214
