UniProtID,ProteinID,Protein names,Gene,Gene2,Gene3,Gene4,Gene5,Gene6,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
A0A024RBG1,NUD4B_HUMAN,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B),NUDT4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6H7,KV37_HUMAN,Probable non-functional immunoglobulin kappa variable 3-7,IGKV3-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6H9,LV469_HUMAN,Immunoglobulin lambda variable 4-69,IGLV4-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I0,LV861_HUMAN,Immunoglobulin lambda variable 8-61,IGLV8-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I1,LV460_HUMAN,Immunoglobulin lambda variable 4-60,IGLV4-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6I9,LV746_HUMAN,Immunoglobulin lambda variable 7-46,IGLV7-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6J1,LV537_HUMAN,Immunoglobulin lambda variable 5-37,IGLV5-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6J9,LV218_HUMAN,Immunoglobulin lambda variable 2-18,IGLV2-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6K4,LV310_HUMAN,Immunoglobulin lambda variable 3-10,IGLV3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6K5,LV39_HUMAN,Immunoglobulin lambda variable 3-9,IGLV3-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6Q5,HV364_HUMAN,Immunoglobulin heavy variable 3-64,IGHV3-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6R2,HV404_HUMAN,Immunoglobulin heavy variable 4-4,IGHV4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6S2,KVD29_HUMAN,Immunoglobulin kappa variable 2D-29,IGKV2D-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6S5,KV127_HUMAN,Immunoglobulin kappa variable 1-27,IGKV1-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B7B8,A0A075B7B8_HUMAN,Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment),IGHV3OR16-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B7D0,A0A075B7D0_HUMAN,Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment),IGHV1OR15-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B7D8,A0A075B7D8_HUMAN,Immunoglobulin heavy variable 3/OR15-7 (pseudogene) (Fragment),IGHV3OR15-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A087WSY6,KVD15_HUMAN,Immunoglobulin kappa variable 3D-15,IGKV3D-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0A0MS15,HV349_HUMAN,Immunoglobulin heavy variable 3-49,IGHV3-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
